dataset,group,group_color,modality,dotpath,unit,value
BOLD5000,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,20.25
BOLD5000,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
BOLD5000,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
BOLD5000,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
BOLD5000,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
BOLD5000,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,4916.0
BOLD5000,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
BOLD5000,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
BOLD5000,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
BOLD5000,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
BOLD5000,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
BOLD5000,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,0.6
BOLD5000,Tasks,#538135,Games,tasks.game.per_subject_h,h,
BOLD5000,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,3.0
BOLD5000,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
BOLD5000,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,20.25
BOLD5000,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,20.25
BOLD5000,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
BOLD5000,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
Dr Who,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,28.5
Dr Who,Brain recordings,#4472C4,EEG,neuroimaging.eeg.per_subject_h,h,
Dr Who,Brain recordings,#4472C4,MEG,neuroimaging.meg.per_subject_h,h,
Dr Who,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.per_subject_h,h,
Dr Who,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.per_subject_h,h,
Dr Who,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
Dr Who,Tasks,#538135,Video,tasks.video.per_subject_unique,h,23.7
Dr Who,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,23.7
Dr Who,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,23.7
Dr Who,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
Dr Who,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
