dataset,group,group_color,modality,dotpath,unit,value
Dr Who,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,28.5
Dr Who,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
Dr Who,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
Dr Who,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
Dr Who,Passive,#538135,Images,passive.images.total_unique,#img,
Dr Who,Passive,#538135,Video,passive.video.total_unique,h,23.7
Dr Who,Passive,#538135,Audio,passive.audio.total_unique,h,
Dr Who,Passive,#538135,Speech,passive.speech_listening.total_unique,h,
Dr Who,Passive,#538135,Text,passive.text_reading.total_unique,h,
Dr Who,Passive,#538135,Rest,passive.resting_state.total_unique,h,
Dr Who,Active,#C55A11,Controlled,active.controlled.total_unique,h,
Dr Who,Active,#C55A11,Games,active.game_actions.total_unique,h,
Dr Who,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
Dr Who,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,
Dr Who,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,
Dr Who,Physiology,#7030A0,EDA,physiology.eda.total_h,h,
Dr Who,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
NOD,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,
NOD,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,24.0
NOD,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,25.0
NOD,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
NOD,Passive,#538135,Images,passive.images.total_unique,#img,4000.0
NOD,Passive,#538135,Video,passive.video.total_unique,h,
NOD,Passive,#538135,Audio,passive.audio.total_unique,h,
NOD,Passive,#538135,Speech,passive.speech_listening.total_unique,h,
NOD,Passive,#538135,Text,passive.text_reading.total_unique,h,
NOD,Passive,#538135,Rest,passive.resting_state.total_unique,h,
NOD,Active,#C55A11,Controlled,active.controlled.total_unique,h,
NOD,Active,#C55A11,Games,active.game_actions.total_unique,h,
NOD,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
NOD,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,
NOD,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,
NOD,Physiology,#7030A0,EDA,physiology.eda.total_h,h,
NOD,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
NSD,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,284.0
NSD,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
NSD,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
NSD,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
NSD,Passive,#538135,Images,passive.images.total_unique,#img,70566.0
NSD,Passive,#538135,Video,passive.video.total_unique,h,
NSD,Passive,#538135,Audio,passive.audio.total_unique,h,
NSD,Passive,#538135,Speech,passive.speech_listening.total_unique,h,
NSD,Passive,#538135,Text,passive.text_reading.total_unique,h,
NSD,Passive,#538135,Rest,passive.resting_state.total_unique,h,18.7
NSD,Active,#C55A11,Controlled,active.controlled.total_unique,h,1.0
NSD,Active,#C55A11,Games,active.game_actions.total_unique,h,
NSD,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
NSD,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,
NSD,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,
NSD,Physiology,#7030A0,EDA,physiology.eda.total_h,h,
NSD,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,24.0
Spacetop,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,606.0
Spacetop,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
Spacetop,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
Spacetop,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
Spacetop,Passive,#538135,Images,passive.images.total_unique,#img,
Spacetop,Passive,#538135,Video,passive.video.total_unique,h,1.44
Spacetop,Passive,#538135,Audio,passive.audio.total_unique,h,
Spacetop,Passive,#538135,Speech,passive.speech_listening.total_unique,h,0.14
Spacetop,Passive,#538135,Text,passive.text_reading.total_unique,h,0.2
Spacetop,Passive,#538135,Rest,passive.resting_state.total_unique,h,
Spacetop,Active,#C55A11,Controlled,active.controlled.total_unique,h,1.57
Spacetop,Active,#C55A11,Games,active.game_actions.total_unique,h,
Spacetop,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
Spacetop,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,
Spacetop,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,585.8
Spacetop,Physiology,#7030A0,EDA,physiology.eda.total_h,h,585.8
Spacetop,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
UK Biobank,Neuroimaging,#4472C4,fMRI,neuroimaging.fmri.total_h,h,14871.0
UK Biobank,Neuroimaging,#4472C4,EEG,neuroimaging.eeg.total_h,h,
UK Biobank,Neuroimaging,#4472C4,MEG,neuroimaging.meg.total_h,h,
UK Biobank,Neuroimaging,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
UK Biobank,Passive,#538135,Images,passive.images.total_unique,#img,
UK Biobank,Passive,#538135,Video,passive.video.total_unique,h,
UK Biobank,Passive,#538135,Audio,passive.audio.total_unique,h,
UK Biobank,Passive,#538135,Speech,passive.speech_listening.total_unique,h,
UK Biobank,Passive,#538135,Text,passive.text_reading.total_unique,h,
UK Biobank,Passive,#538135,Rest,passive.resting_state.total_unique,h,9493.0
UK Biobank,Active,#C55A11,Controlled,active.controlled.total_unique,h,0.067
UK Biobank,Active,#C55A11,Games,active.game_actions.total_unique,h,
